post_id,title,description,category,price,dong,latitude,longitude,created_at,view_count,like_count,chat_count
1,전자레인지 거의 새상품입니다,전자레인지 판매합니다. 청룡동 근처 직거래 가능하고 사용감은 적은 편입니다.,생활가전,37000,청룡동,37.48210492512449,126.94801782679481,2026-05-13 13:49:03,768,69,5
2,공기청정기 급처합니다,공기청정기 상태 양호합니다. 신림동 근처에서 시간 맞춰 거래 가능합니다.,생활가전,141000,신림동,37.48369209046284,126.92678190708232,2026-05-13 20:48:03,568,53,14
3,와이파이 공유기 상태 좋아요,상도동 인근에서 거래 원합니다. 와이파이 공유기 필요하신 분 연락 주세요.,디지털기기,45000,상도동,37.49839927300638,126.92958979380484,2026-06-01 10:44:03,354,13,5
4,헬스 장갑 거의 새상품입니다,집 정리하면서 헬스 장갑 내놓습니다. 신림동에서 직거래 가능합니다.,스포츠/레저,22000,신림동,37.48538519752364,126.93261706900311,2026-06-02 05:27:03,575,37,40
5,레고 세트 저렴하게 내놓습니다,레고 세트 판매합니다. 신림동 근처 직거래 가능하고 사용감은 적은 편입니다.,게임/취미,168000,신림동,37.483734103023686,126.93234110426641,2026-06-03 09:37:03,113,48,17
6,러그 사용감 적어요,청룡동 인근에서 거래 원합니다. 러그 필요하신 분 연락 주세요.,가구/인테리어,99000,청룡동,37.477911386481985,126.9549912679795,2026-05-06 19:51:03,83,77,40
7,옷장 필요하신 분 가져가세요,옷장 상태 양호합니다. 대학동 근처에서 시간 맞춰 거래 가능합니다.,가구/인테리어,106000,대학동,37.46789048071964,126.93212100243905,2026-05-15 06:39:03,796,99,3
8,낚시대 거의 새상품입니다,낚시대 판매합니다. 봉천동 근처 직거래 가능하고 사용감은 적은 편입니다.,스포츠/레저,165000,봉천동,37.48155631901061,126.9457454758974,2026-05-07 19:12:03,227,83,31
9,고양이 화장실 거의 새상품입니다,고양이 화장실 판매합니다. 낙성대동 근처 직거래 가능하고 사용감은 적은 편입니다.,반려동물용품,78000,낙성대동,37.47541996443714,126.9635732577799,2026-05-27 17:55:03,448,74,25
10,화장대 이사 정리합니다,봉천동에서 거래 가능한 화장대입니다. 상태 좋고 빠른 거래 원합니다.,가구/인테리어,250000,봉천동,37.48356409030732,126.94044767311674,2026-06-02 12:52:03,173,87,27
11,디지털 피아노 거의 새상품입니다,신림동에서 거래 가능한 디지털 피아노입니다. 상태 좋고 빠른 거래 원합니다.,게임/취미,649000,신림동,37.48213500128647,126.92558157754345,2026-05-12 08:43:03,666,43,7
12,보조배터리 거의 새상품입니다,보조배터리 상태 양호합니다. 낙성대동 근처에서 시간 맞춰 거래 가능합니다.,디지털기기,11000,낙성대동,37.47788970211438,126.9551283926855,2026-05-08 21:13:03,871,81,32
13,전신거울 판매합니다,집 정리하면서 전신거울 내놓습니다. 사당동에서 직거래 가능합니다.,가구/인테리어,12000,사당동,37.47217925166494,126.98538009599204,2026-06-02 05:36:03,861,39,15
14,전기포트 이사 정리합니다,전기포트 상태 양호합니다. 봉천동 근처에서 시간 맞춰 거래 가능합니다.,생활가전,13000,봉천동,37.4802505662894,126.94532433041084,2026-05-31 20:02:03,979,70,10
15,아기 식탁의자 급처합니다,집 정리하면서 아기 식탁의자 내놓습니다. 대학동에서 직거래 가능합니다.,유아용품,115000,대학동,37.46624025896326,126.93201034260008,2026-05-22 01:04:03,133,31,14
16,화장품 정리함 급처합니다,신림동에서 거래 가능한 화장품 정리함입니다. 상태 좋고 빠른 거래 원합니다.,생활용품,50000,신림동,37.47990857349889,126.9263800463437,2026-05-16 16:18:03,79,4,21
17,자동 급식기 상태 좋아요,자동 급식기 판매합니다. 흑석동 근처 직거래 가능하고 사용감은 적은 편입니다.,반려동물용품,141000,흑석동,37.508110511824064,126.9628357862302,2026-05-11 04:20:03,106,12,42
18,배변패드 판매합니다,봉천동에서 거래 가능한 배변패드입니다. 상태 좋고 빠른 거래 원합니다.,반려동물용품,17000,봉천동,37.47951590072142,126.9419628575391,2026-05-13 06:41:03,892,13,15
19,행거 상태 좋아요,집 정리하면서 행거 내놓습니다. 대학동에서 직거래 가능합니다.,가구/인테리어,25000,대학동,37.46610588329525,126.94179282468413,2026-05-09 15:04:03,837,70,6
20,아이폰 SE 급처합니다,집 정리하면서 아이폰 SE 내놓습니다. 낙성대동에서 직거래 가능합니다.,디지털기기,244000,낙성대동,37.475589731189764,126.9634530884378,2026-05-21 10:37:03,420,7,10
21,머신러닝 입문서 이사 정리합니다,집 정리하면서 머신러닝 입문서 내놓습니다. 대학동에서 직거래 가능합니다.,도서,32000,대학동,37.47046671411654,126.93369897867268,2026-05-05 17:42:03,579,84,45
22,울 코트 판매합니다,사당동에서 거래 가능한 울 코트입니다. 상태 좋고 빠른 거래 원합니다.,의류,42000,사당동,37.47216879579729,126.98167828496993,2026-05-18 02:00:03,951,67,10
23,게이밍 의자 저렴하게 내놓습니다,집 정리하면서 게이밍 의자 내놓습니다. 청룡동에서 직거래 가능합니다.,가구/인테리어,70000,청룡동,37.48239381510332,126.95189224915335,2026-05-05 23:17:03,602,76,2
24,만화책 세트 사용감 적어요,만화책 세트 판매합니다. 대학동 근처 직거래 가능하고 사용감은 적은 편입니다.,게임/취미,95000,대학동,37.4723169022296,126.934799970798,2026-05-14 07:17:03,281,50,8
25,아령 판매합니다,아령 상태 양호합니다. 흑석동 근처에서 시간 맞춰 거래 가능합니다.,스포츠/레저,41000,흑석동,37.50512456570367,126.96209008834964,2026-06-02 14:58:03,228,64,16
26,가습기 사용감 적어요,가습기 판매합니다. 대학동 근처 직거래 가능하고 사용감은 적은 편입니다.,생활가전,66000,대학동,37.47088940692602,126.93847863203713,2026-05-09 23:47:03,319,78,41
